subject,slot,num_sections,total_enrolled
동아시아사,a,1,26
영어독해와 작문,a,1,22
영어회화,a,1,25
한국지리,a,1,18
확률과 통계,a,1,30
동아시아사,b,1,21
영어독해와 작문,b,1,21
윤리와 사상,b,1,22
정치와 법,b,1,27
지구과학Ⅱ,b,1,30
미적분,c,1,19
언어와 매체,c,1,20
정치와 법,c,1,30
한국지리,c,1,22
화법과 작문,c,1,30
동아시아사,d,1,30
생명과학Ⅱ,d,1,21
언어와 매체,d,1,13
영어회화,d,1,27
윤리와 사상,d,1,30
생명과학Ⅱ,e,1,14
언어와 매체,e,1,30
정치와 법,e,1,24
화법과 작문,e,1,24
확률과 통계,e,1,29
윤리와 사상,f,1,30
정치와 법,f,1,22
한국지리,f,1,28
화학Ⅱ,f,1,25
확률과 통계,f,1,16
물리학Ⅱ,g,1,17
생명과학Ⅱ,g,1,24
언어와 매체,g,1,30
영어독해와 작문,g,1,20
확률과 통계,g,1,30
미적분,h,1,14
영어회화,h,1,24
지구과학Ⅱ,h,1,30
한국지리,h,1,30
화법과 작문,h,1,23
