subject,slot,num_sections,total_enrolled
미적분,a,1,16
생명과학Ⅱ,a,1,23
언어와 매체,a,1,28
영어독해와 작문,a,1,18
영어회화,a,1,20
지구과학Ⅱ,a,1,16
동아시아사,b,1,28
생명과학Ⅱ,b,1,12
영어독해와 작문,b,1,26
영어회화,b,1,28
지구과학Ⅱ,b,1,27
동아시아사,c,1,28
영어독해와 작문,c,1,19
영어회화,c,1,28
정치와 법,c,1,22
화법과 작문,c,1,24
미적분,d,1,17
생명과학Ⅱ,d,1,24
윤리와 사상,d,1,28
한국지리,d,1,24
화법과 작문,d,1,28
언어와 매체,e,1,28
윤리와 사상,e,1,28
지구과학Ⅱ,e,1,17
한국지리,e,1,23
화법과 작문,e,1,25
동아시아사,f,1,21
언어와 매체,f,1,25
정치와 법,f,1,25
한국지리,f,1,28
확률과 통계,f,1,22
물리학Ⅱ,g,1,17
윤리와 사상,g,1,26
정치와 법,g,1,28
한국지리,g,1,23
확률과 통계,g,1,27
언어와 매체,h,1,12
정치와 법,h,1,28
화학Ⅱ,h,1,25
확률과 통계,h,2,56
