subject,slot,num_sections,total_enrolled
동아시아사,a,1,28
언어와 매체,a,1,21
영어회화,a,1,24
한국지리,a,1,21
화법과 작문,a,1,27
생명과학Ⅱ,b,1,19
언어와 매체,b,1,23
정치와 법,b,1,21
한국지리,b,1,28
확률과 통계,b,1,28
생명과학Ⅱ,c,1,22
영어독해와 작문,c,1,19
지구과학Ⅱ,c,1,28
화법과 작문,c,1,26
화학Ⅱ,c,1,25
미적분,d,1,14
언어와 매체,d,1,28
영어독해와 작문,d,1,23
영어회화,d,1,28
정치와 법,d,1,27
동아시아사,e,1,28
미적분,e,1,19
생명과학Ⅱ,e,1,18
정치와 법,e,1,28
확률과 통계,e,1,27
영어독해와 작문,f,1,21
윤리와 사상,f,1,28
지구과학Ⅱ,f,1,28
한국지리,f,1,22
확률과 통계,f,1,22
물리학Ⅱ,g,1,15
윤리와 사상,g,1,28
정치와 법,g,1,27
한국지리,g,1,27
화법과 작문,g,1,24
동아시아사,h,1,21
언어와 매체,h,1,21
영어회화,h,1,24
윤리와 사상,h,1,26
확률과 통계,h,1,28
