subject,slot,num_sections,total_enrolled
독서 토론과 글쓰기,a,1,11
물질과 에너지,a,1,8
미디어 영어,a,1,14
사회와 문화,a,1,17
생물의 유전,a,1,21
생태와 환경,a,1,15
세계사,a,1,16
윤리문제 탐구,a,1,7
독서 토론과 글쓰기,b,1,6
매체 의사소통,b,1,17
세포와 물질대사,b,1,14
영어Ⅱ,b,1,16
윤리와 사상,b,1,16
음악과 미디어,b,1,21
인공지능 수학,b,1,6
한국지리 탐구,b,1,13
과학의 역사와 문화,c,1,21
도시의 미래 탐구,c,1,6
미술과 매체,c,1,10
법과 사회,c,1,17
윤리와 사상,c,1,20
일본어,c,1,8
주제 탐구 독서,c,1,13
직무 의사소통,c,1,14
법과 사회,d,1,7
생명과학,d,1,14
세계 문화와 영어,d,1,11
여행지리,d,1,11
윤리문제 탐구,d,1,14
음악과 미디어,d,1,18
정보,d,1,15
주제 탐구 독서,d,1,19
경제 수학,e,1,5
기후변화와 환경생태,e,1,17
매체 의사소통,e,1,18
미술 창작,e,1,13
사회문제 탐구,e,1,22
언어생활 탐구,e,1,9
윤리와 사상,e,1,14
한국지리 탐구,e,1,11
데이터 과학,f,1,6
미술 창작,f,1,2
보건,f,1,23
인간과 철학,f,1,14
직무 영어,f,1,18
직무 의사소통,f,1,10
화법과 언어,f,1,20
확률과 통계,f,1,16
보건,g,1,10
세계시민과 지리,g,1,11
수학과 문화,g,1,12
인간과 심리,g,1,24
인간과 철학,g,1,18
정치,g,1,25
화법과 언어,g,1,9
동아시아 역사 기행,h,1,5
문학과 영상,h,1,17
인문학과 윤리,h,1,12
정보,h,1,12
직무 영어,h,1,13
현대사회와 윤리,h,1,24
화학,h,1,11
확률과 통계,h,1,15
데이터 과학,i,1,19
매체 의사소통,i,1,16
미술 창작,i,1,9
미술과 매체,i,1,12
생명과학,i,1,16
세포와 물질대사,i,1,8
윤리문제 탐구,i,1,11
직무 의사소통,i,1,18
기후변화와 환경생태,j,1,17
독서 토론과 글쓰기,j,1,7
마케팅과 광고,j,1,12
미술과 매체,j,1,18
생태와 환경,j,1,12
실생활 영어 회화,j,1,17
인공지능 수학,j,1,8
일본어,j,1,18
