subject,total_sections
사회문제 탐구,3
윤리와 사상,3
화법과 언어,3
음악과 미디어,3
매체 의사소통,3
일본어,3
기후변화와 환경생태,3
사회와 문화,3
인간과 심리,3
미술과 매체,3
영어Ⅱ,3
보건,3
확률과 통계,3
인간과 철학,2
현대사회와 윤리,2
법과 사회,2
생태와 환경,2
정치,2
직무 의사소통,2
윤리문제 탐구,2
직무 영어,2
인간과 경제활동,2
주제 탐구 독서,2
과학의 역사와 문화,2
교육의 이해,2
실생활 영어 회화,2
문학과 영상,2
생명과학,2
한국지리 탐구,2
여행지리,2
정보,2
미술 창작,2
인문학과 윤리,2
데이터 과학,2
생물의 유전,2
마케팅과 광고,2
세포와 물질대사,2
역사로 탐구하는 현대 세계,2
미디어 영어,2
세계사,2
독서 토론과 글쓰기,2
세계시민과 지리,1
화학,1
세계 문화와 영어,1
물질과 에너지,1
화학 반응의 세계,1
교육의 이해 [3-2-D],1
지구과학,1
음악 연주와 창작,1
경제 수학,1
기하,1
물리학,1
동아시아 역사 기행,1
수학과 문화,1
인공지능 수학,1
미적분Ⅱ,1
도시의 미래 탐구,1
지구시스템과학,1
직무 수학,1
행성우주과학,1
언어생활 탐구,1
영어 발표와 토론,1
보건 [3-2-D],1
역학과 에너지,1
세계 문화와 영어 [3-2-D],1
전자기와 양자,1
