subject,slot,num_sections,total_enrolled
동아시아사,a,1,26
미적분,a,1,22
영어회화,a,1,20
지구과학Ⅱ,a,1,23
화법과 작문,a,1,30
생명과학Ⅱ,b,1,30
언어와 매체,b,1,23
영어독해와 작문,b,1,19
영어회화,b,1,29
화법과 작문,b,1,20
동아시아사,c,1,28
생명과학Ⅱ,c,1,29
영어독해와 작문,c,1,29
지구과학Ⅱ,c,1,19
확률과 통계,c,1,16
동아시아사,d,1,23
미적분,d,1,11
영어회화,d,1,27
윤리와 사상,d,1,30
정치와 법,d,1,30
언어와 매체,e,1,18
윤리와 사상,e,1,24
한국지리,e,1,23
화법과 작문,e,1,27
확률과 통계,e,1,29
언어와 매체,f,1,28
영어독해와 작문,f,1,15
윤리와 사상,f,1,28
정치와 법,f,1,23
한국지리,f,1,27
물리학Ⅱ,g,1,17
언어와 매체,g,1,24
정치와 법,g,1,26
한국지리,g,1,24
확률과 통계,g,1,30
정치와 법,h,1,24
지구과학Ⅱ,h,1,18
한국지리,h,1,24
화학Ⅱ,h,1,25
확률과 통계,h,1,30
