student_id,name,subject,slot,section_label,status
10101,10101,주제 탐구 독서,b,주제 탐구 독서_b_1,assigned
10101,10101,생명과학,d,생명과학_d_1,assigned
10101,10101,인문학과 윤리,c,인문학과 윤리_c_1,assigned
10101,10101,세계 문화와 영어,a,세계 문화와 영어_a_1,assigned
10102,10102,주제 탐구 독서,b,주제 탐구 독서_b_1,assigned
10102,10102,생명과학,d,생명과학_d_1,assigned
10102,10102,미술 창작,c,미술 창작_c_1,assigned
10102,10102,화학,a,화학_a_1,assigned
10103,10103,생명과학,b,생명과학_b_1,assigned
10103,10103,인문학과 윤리,d,인문학과 윤리_d_1,assigned
10103,10103,화학,c,화학_c_1,assigned
10103,10103,인공지능 수학,a,인공지능 수학_a_1,assigned
10104,10104,법과 사회,c,법과 사회_c_1,assigned
10104,10104,주제 탐구 독서,b,주제 탐구 독서_b_1,assigned
10104,10104,인문학과 윤리,d,인문학과 윤리_d_1,assigned
10104,10104,세계시민과 지리,a,세계시민과 지리_a_1,assigned
10106,10106,일본어,a,일본어_a_1,assigned
10106,10106,법과 사회,b,법과 사회_b_1,assigned
10106,10106,생명과학,d,생명과학_d_1,assigned
10106,10106,세계사,c,세계사_c_1,assigned
10108,10108,주제 탐구 독서,b,주제 탐구 독서_b_1,assigned
10108,10108,인문학과 윤리,d,인문학과 윤리_d_1,assigned
10108,10108,세계사,c,세계사_c_1,assigned
10108,10108,세계 문화와 영어,a,세계 문화와 영어_a_1,assigned
10109,10109,미술 창작,c,미술 창작_c_1,assigned
10109,10109,화학,a,화학_a_1,assigned
10109,10109,지구과학,b,지구과학_b_1,assigned
10109,10109,물리학,d,물리학_d_1,assigned
10110,10110,법과 사회,b,법과 사회_b_1,assigned
10110,10110,세계사,d,세계사_d_1,assigned
10110,10110,세계시민과 지리,c,세계시민과 지리_c_1,assigned
10110,10110,세계 문화와 영어,a,세계 문화와 영어_a_1,assigned
10111,10111,미술 창작,c,미술 창작_c_1,assigned
10111,10111,인문학과 윤리,d,인문학과 윤리_d_1,assigned
10111,10111,세계시민과 지리,a,세계시민과 지리_a_1,assigned
10111,10111,지구과학,b,지구과학_b_1,assigned
10112,10112,일본어,d,일본어_d_1,assigned
10112,10112,주제 탐구 독서,b,주제 탐구 독서_b_1,assigned
10112,10112,세계시민과 지리,c,세계시민과 지리_c_1,assigned
10112,10112,세계 문화와 영어,a,세계 문화와 영어_a_1,assigned
10113,10113,주제 탐구 독서,a,주제 탐구 독서_a_1,assigned
10113,10113,미술 창작,b,미술 창작_b_1,assigned
10113,10113,세계사,d,세계사_d_1,assigned
10113,10113,세계시민과 지리,c,세계시민과 지리_c_1,assigned
10114,10114,법과 사회,c,법과 사회_c_1,assigned
10114,10114,주제 탐구 독서,b,주제 탐구 독서_b_1,assigned
10114,10114,생명과학,d,생명과학_d_1,assigned
10114,10114,세계 문화와 영어,a,세계 문화와 영어_a_1,assigned
10115,10115,주제 탐구 독서,b,주제 탐구 독서_b_1,assigned
10115,10115,화학,c,화학_c_1,assigned
10115,10115,물리학,d,물리학_d_1,assigned
10115,10115,인공지능 수학,a,인공지능 수학_a_1,assigned
10116,10116,법과 사회,b,법과 사회_b_1,assigned
10116,10116,생명과학,d,생명과학_d_1,assigned
10116,10116,화학,c,화학_c_1,assigned
10116,10116,인공지능 수학,a,인공지능 수학_a_1,assigned
10117,10117,일본어,a,일본어_a_1,assigned
10117,10117,미술 창작,b,미술 창작_b_1,assigned
10117,10117,인문학과 윤리,d,인문학과 윤리_d_1,assigned
10117,10117,세계사,c,세계사_c_1,assigned
10118,10118,생명과학,d,생명과학_d_1,assigned
10118,10118,미술 창작,c,미술 창작_c_1,assigned
10118,10118,세계시민과 지리,a,세계시민과 지리_a_1,assigned
10118,10118,지구과학,b,지구과학_b_1,assigned
10119,10119,일본어,a,일본어_a_1,assigned
10119,10119,주제 탐구 독서,b,주제 탐구 독서_b_1,assigned
10119,10119,미술 창작,c,미술 창작_c_1,assigned
10119,10119,세계사,d,세계사_d_1,assigned
10120,10120,일본어,d,일본어_d_2,assigned
10120,10120,주제 탐구 독서,a,주제 탐구 독서_a_1,assigned
10120,10120,미술 창작,b,미술 창작_b_1,assigned
10120,10120,세계사,c,세계사_c_1,assigned
10121,10121,일본어,d,일본어_d_1,assigned
10121,10121,주제 탐구 독서,a,주제 탐구 독서_a_1,assigned
10121,10121,미술 창작,b,미술 창작_b_1,assigned
10121,10121,세계시민과 지리,c,세계시민과 지리_c_1,assigned
10122,10122,일본어,d,일본어_d_2,assigned
10122,10122,법과 사회,c,법과 사회_c_1,assigned
10122,10122,주제 탐구 독서,a,주제 탐구 독서_a_1,assigned
10122,10122,미술 창작,b,미술 창작_b_1,assigned
10123,10123,일본어,a,일본어_a_1,assigned
10123,10123,법과 사회,c,법과 사회_c_1,assigned
10123,10123,미술 창작,b,미술 창작_b_1,assigned
10123,10123,세계사,d,세계사_d_1,assigned
10124,10124,일본어,d,일본어_d_1,assigned
10124,10124,법과 사회,c,법과 사회_c_1,assigned
10124,10124,미술 창작,b,미술 창작_b_1,assigned
10124,10124,화학,a,화학_a_1,assigned
10201,10201,법과 사회,b,법과 사회_b_1,assigned
