student_id,name,subject,slot,section_label,status
20101,20101,음악감상과 비평,b,음악감상과 비평_b_1,assigned
20101,20101,미디어콘텐츠일반,c,미디어콘텐츠일반_c_1,assigned
20102,20102,음악감상과 비평,b,음악감상과 비평_b_1,assigned
20102,20102,생활과 과학,c,생활과 과학_c_1,assigned
20103,20103,미술감상과 비평,a,미술감상과 비평_a_1,assigned
20103,20103,미디어콘텐츠일반,c,미디어콘텐츠일반_c_1,assigned
20104,20104,미술감상과 비평,b,미술감상과 비평_b_1,assigned
20104,20104,체육전공실기기초,a,체육전공실기기초_a_1,assigned
20105,20105,미술감상과 비평,a,미술감상과 비평_a_2,assigned
20105,20105,생활과 과학,c,생활과 과학_c_1,assigned
20106,20106,미술감상과 비평,b,미술감상과 비평_b_1,assigned
20106,20106,체육전공실기기초,a,체육전공실기기초_a_2,assigned
20107,20107,음악감상과 비평,b,음악감상과 비평_b_1,assigned
20107,20107,체육전공실기기초,a,체육전공실기기초_a_1,assigned
20108,20108,미술감상과 비평,a,미술감상과 비평_a_1,assigned
20108,20108,생활과 과학,c,생활과 과학_c_1,assigned
20109,20109,음악감상과 비평,a,음악감상과 비평_a_1,assigned
20109,20109,생활과 과학,c,생활과 과학_c_1,assigned
20110,20110,미술감상과 비평,b,미술감상과 비평_b_1,assigned
20110,20110,체육전공실기기초,a,체육전공실기기초_a_2,assigned
20111,20111,미술감상과 비평,a,미술감상과 비평_a_2,assigned
20111,20111,마케팅과 광고,b,마케팅과 광고_b_1,assigned
20114,20114,음악감상과 비평,b,음악감상과 비평_b_1,assigned
20114,20114,체육전공실기기초,a,체육전공실기기초_a_1,assigned
20115,20115,음악감상과 비평,a,음악감상과 비평_a_1,assigned
20115,20115,생활과 과학,c,생활과 과학_c_1,assigned
20116,20116,음악감상과 비평,a,음악감상과 비평_a_1,assigned
20116,20116,생활과 과학,c,생활과 과학_c_1,assigned
20117,20117,음악감상과 비평,a,음악감상과 비평_a_1,assigned
20117,20117,미디어콘텐츠일반,c,미디어콘텐츠일반_c_1,assigned
20118,20118,음악감상과 비평,a,음악감상과 비평_a_1,assigned
20118,20118,미디어콘텐츠일반,c,미디어콘텐츠일반_c_1,assigned
20119,20119,미술감상과 비평,a,미술감상과 비평_a_1,assigned
20119,20119,생활과 과학,c,생활과 과학_c_1,assigned
20120,20120,음악감상과 비평,a,음악감상과 비평_a_1,assigned
20120,20120,미디어콘텐츠일반,c,미디어콘텐츠일반_c_1,assigned
20121,20121,미술감상과 비평,a,미술감상과 비평_a_2,assigned
20121,20121,여행지리,b,여행지리_b_1,assigned
20122,20122,미술감상과 비평,b,미술감상과 비평_b_1,assigned
20122,20122,체육전공실기기초,a,체육전공실기기초_a_2,assigned
20123,20123,음악감상과 비평,a,음악감상과 비평_a_1,assigned
20123,20123,미디어콘텐츠일반,c,미디어콘텐츠일반_c_1,assigned
20124,20124,음악감상과 비평,b,음악감상과 비평_b_1,assigned
20124,20124,체육전공실기기초,a,체육전공실기기초_a_1,assigned
20125,20125,미술감상과 비평,a,미술감상과 비평_a_1,assigned
20125,20125,생활과 과학,c,생활과 과학_c_1,assigned
20201,20201,미술감상과 비평,a,미술감상과 비평_a_2,assigned
20201,20201,여행지리,b,여행지리_b_1,assigned
20202,20202,미술감상과 비평,b,미술감상과 비평_b_1,assigned
20202,20202,체육전공실기기초,a,체육전공실기기초_a_2,assigned
20203,20203,미술감상과 비평,a,미술감상과 비평_a_1,assigned
20203,20203,여행지리,b,여행지리_b_1,assigned
20204,20204,미술감상과 비평,a,미술감상과 비평_a_2,assigned
20204,20204,미디어콘텐츠일반,c,미디어콘텐츠일반_c_1,assigned
20205,20205,미술감상과 비평,a,미술감상과 비평_a_1,assigned
20205,20205,여행지리,b,여행지리_b_1,assigned
20206,20206,음악감상과 비평,a,음악감상과 비평_a_1,assigned
20206,20206,마케팅과 광고,b,마케팅과 광고_b_1,assigned
20207,20207,미술감상과 비평,a,미술감상과 비평_a_2,assigned
20207,20207,미디어콘텐츠일반,c,미디어콘텐츠일반_c_1,assigned
20208,20208,미술감상과 비평,a,미술감상과 비평_a_1,assigned
20208,20208,마케팅과 광고,b,마케팅과 광고_b_1,assigned
20209,20209,미술감상과 비평,b,미술감상과 비평_b_1,assigned
20209,20209,체육전공실기기초,a,체육전공실기기초_a_1,assigned
20210,20210,미술감상과 비평,a,미술감상과 비평_a_2,assigned
20210,20210,여행지리,b,여행지리_b_1,assigned
