student_id,name,subject,slot,section_label,status
10101,10101,인간과 심리,d,인간과 심리_d_1,assigned
10101,10101,현대사회와 윤리,c,현대사회와 윤리_c_1,assigned
10101,10101,세포와 물질대사,a,세포와 물질대사_a_1,assigned
10101,10101,언어생활 탐구,b,언어생활 탐구_b_1,assigned
10102,10102,인간과 심리,d,인간과 심리_d_1,assigned
10102,10102,현대사회와 윤리,c,현대사회와 윤리_c_1,assigned
10102,10102,세포와 물질대사,a,세포와 물질대사_a_1,assigned
10102,10102,물질과 에너지,b,물질과 에너지_b_1,assigned
10103,10103,인간과 심리,c,인간과 심리_c_1,assigned
10103,10103,세포와 물질대사,a,세포와 물질대사_a_1,assigned
10103,10103,물질과 에너지,b,물질과 에너지_b_1,assigned
10103,10103,기하,d,기하_d_1,assigned
10104,10104,사회와 문화,b,사회와 문화_b_1,assigned
10104,10104,인간과 심리,c,인간과 심리_c_1,assigned
10104,10104,현대사회와 윤리,d,현대사회와 윤리_d_1,assigned
10104,10104,음악 연주와 창작,a,음악 연주와 창작_a_1,assigned
10106,10106,사회와 문화,c,사회와 문화_c_1,assigned
10106,10106,인간과 심리,a,인간과 심리_a_1,assigned
10106,10106,문학과 영상,b,문학과 영상_b_1,assigned
10106,10106,동아시아 역사 기행,d,동아시아 역사 기행_d_1,assigned
10108,10108,인간과 심리,a,인간과 심리_a_1,assigned
10108,10108,현대사회와 윤리,c,현대사회와 윤리_c_1,assigned
10108,10108,미디어 영어,b,미디어 영어_b_1,assigned
10108,10108,동아시아 역사 기행,d,동아시아 역사 기행_d_1,assigned
10109,10109,물질과 에너지,c,물질과 에너지_c_1,assigned
10109,10109,기하,d,기하_d_1,assigned
10109,10109,도시의 미래 탐구,a,도시의 미래 탐구_a_1,assigned
10109,10109,지구시스템과학,b,지구시스템과학_b_1,assigned
10110,10110,사회와 문화,d,사회와 문화_d_1,assigned
10110,10110,현대사회와 윤리,c,현대사회와 윤리_c_1,assigned
10110,10110,정보,a,정보_a_1,assigned
10110,10110,미디어 영어,b,미디어 영어_b_1,assigned
10111,10111,인간과 심리,d,인간과 심리_d_1,assigned
10111,10111,현대사회와 윤리,c,현대사회와 윤리_c_1,assigned
10111,10111,음악 연주와 창작,a,음악 연주와 창작_a_1,assigned
10111,10111,지구시스템과학,b,지구시스템과학_b_1,assigned
10112,10112,현대사회와 윤리,d,현대사회와 윤리_d_1,assigned
10112,10112,문학과 영상,b,문학과 영상_b_1,assigned
10112,10112,정보,c,정보_c_1,assigned
10112,10112,미디어 영어,a,미디어 영어_a_1,assigned
10113,10113,사회와 문화,c,사회와 문화_c_1,assigned
10113,10113,인간과 심리,d,인간과 심리_d_1,assigned
10113,10113,문학과 영상,b,문학과 영상_b_1,assigned
10113,10113,도시의 미래 탐구,a,도시의 미래 탐구_a_1,assigned
10114,10114,사회와 문화,b,사회와 문화_b_1,assigned
10114,10114,인간과 심리,c,인간과 심리_c_1,assigned
10114,10114,현대사회와 윤리,d,현대사회와 윤리_d_1,assigned
10114,10114,미디어 영어,a,미디어 영어_a_1,assigned
10115,10115,정보,a,정보_a_1,assigned
10115,10115,물질과 에너지,b,물질과 에너지_b_1,assigned
10115,10115,기하,d,기하_d_1,assigned
